iter	Passed	Remaining
0	49	4903
1	88	4340
2	124	4012
3	161	3883
4	196	3741
5	230	3618
6	265	3522
7	300	3450
8	333	3372
9	365	3290
10	397	3219
11	410	3008
12	444	2972
13	478	2939
14	512	2901
15	544	2856
16	577	2818
17	609	2776
18	641	2736
19	653	2614
20	688	2589
21	721	2556
22	754	2526
23	787	2494
24	800	2400
25	834	2376
26	868	2348
27	901	2318
28	938	2297
29	973	2270
30	1006	2240
31	1041	2212
32	1075	2182
33	1108	2152
34	1142	2121
35	1188	2112
36	1208	2057
37	1241	2025
38	1249	1953
39	1280	1920
40	1314	1890
41	1348	1861
42	1382	1832
43	1416	1802
44	1429	1746
45	1462	1717
46	1470	1658
47	1503	1629
48	1536	1598
49	1569	1569
50	1577	1515
51	1611	1487
52	1629	1445
53	1664	1417
54	1695	1387
55	1729	1358
56	1763	1330
57	1771	1282
58	1806	1255
59	1838	1225
60	1850	1183
61	1883	1154
62	1915	1124
63	1947	1095
64	1979	1065
65	2012	1036
66	2030	1000
67	2049	964
68	2082	935
69	2115	906
70	2146	876
71	2178	847
72	2210	817
73	2244	788
74	2277	759
75	2311	729
76	2343	700
77	2354	664
78	2388	634
79	2423	605
80	2456	576
81	2489	546
82	2529	518
83	2603	495
84	2652	468
85	2689	437
86	2734	408
87	2771	377
88	2804	346
89	2838	315
90	2870	283
91	2903	252
92	2938	221
93	2973	189
94	3005	158
95	3025	126
96	3058	94
97	3078	62
98	3110	31
99	3143	0
