iter	Passed	Remaining
0	190	18836
1	231	11351
2	270	8741
3	305	7333
4	339	6448
5	373	5845
6	405	5390
7	439	5056
8	473	4783
9	505	4552
10	537	4346
11	548	4024
12	582	3898
13	614	3775
14	646	3664
15	680	3570
16	712	3477
17	745	3397
18	780	3329
19	792	3171
20	824	3102
21	859	3047
22	893	2992
23	929	2944
24	942	2827
25	977	2782
26	1011	2735
27	1047	2692
28	1080	2645
29	1113	2598
30	1144	2548
31	1177	2502
32	1208	2454
33	1241	2410
34	1274	2366
35	1306	2321
36	1327	2259
37	1359	2218
38	1366	2137
39	1399	2099
40	1433	2063
41	1467	2027
42	1500	1989
43	1534	1952
44	1548	1892
45	1584	1859
46	1591	1795
47	1624	1759
48	1657	1725
49	1691	1691
50	1699	1632
51	1731	1598
52	1751	1552
53	1785	1521
54	1817	1486
55	1851	1455
56	1885	1422
57	1892	1370
58	1925	1337
59	1957	1305
60	1969	1259
61	2004	1228
62	2036	1195
63	2070	1164
64	2102	1131
65	2134	1099
66	2153	1060
67	2172	1022
68	2206	991
69	2239	959
70	2272	928
71	2307	897
72	2339	865
73	2372	833
74	2405	801
75	2438	769
76	2469	737
77	2480	699
78	2512	667
79	2545	636
80	2576	604
81	2608	572
82	2641	540
83	2674	509
84	2706	477
85	2738	445
86	2771	414
87	2803	382
88	2835	350
89	2868	318
90	2901	286
91	2933	255
92	2965	223
93	2998	191
94	3030	159
95	3049	127
96	3081	95
97	3101	63
98	3134	31
99	3167	0
